Nom,Cores,Potència,Caché
AMD Ryzen™ 5 PRO 6650U,6,Up to 4.5 GHz,"L3 Cache: ""24 MB"""
AMD Ryzen™ 5 PRO 6650H,6,Up to 4.5 GHz,"},"
AMD Ryzen™ 5 6600U,6,Up to 4.5 GHz,{
AMD Ryzen™ 5 6600HS​,6,Up to 4.5 GHz,"Name: ""AMD Ryzen™ 9 9900X"","
AMD Ryzen™ 5 6600H,6,Up to 4.5 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 5625U,6,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 5.6 GHz"","
AMD Ryzen™ 5 5625C,6,Up to 4.3 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 5600X3D,6,Up to 4.4 GHz,"},"
AMD Ryzen™ 5 5600X,6,Up to 4.6 GHz,{
AMD Ryzen™ 5 5600U,6,Up to 4.2 GHz,"Name: ""AMD Ryzen™ 9 7900X3D"","
AMD Ryzen™ 5 5600HS,6,Up to 4.2 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 5600H,6,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 5.6 GHz"","
AMD Ryzen™ 5 5600GT,6,Up to 4.6 GHz,"L3 Cache: ""128 MB"""
AMD Ryzen™ 5 5600G,6,Up to 4.4 GHz,"},"
AMD Ryzen™ 5 5600,6,Up to 4.4 GHz,{
AMD Ryzen™ 5 5560U,6,Up to 4 GHz,"Name: ""AMD Ryzen™ 9 7900X"","
AMD Ryzen™ 5 5500U,6,Up to 4 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 5500GT,6,Up to 4.4 GHz,"Max. Boost Clock: ""Up to 5.6 GHz"","
AMD Ryzen™ 5 5500,6,Up to 4.2 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 4680U Microsoft Surface® Edition,6,Up to 4 GHz,"},"
AMD Ryzen™ 5 4600U,6,Up to 4 GHz,{
AMD Ryzen™ 5 4600H,6,Up to 4 GHz,"Name: ""AMD Ryzen™ 9 7900"","
AMD Ryzen™ 5 4500U,6,Up to 4 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 8540U,6,Up to 4.9 GHz,"Max. Boost Clock: ""Up to 5.4 GHz"","
AMD Ryzen™ 5 PRO 7645,6,Up to 5.1 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 PRO 7545U,6,Up to 4.9 GHz,"},"
AMD Ryzen™ 5 PRO 7530U,6,Up to 4.5 GHz,{
AMD Ryzen™ Z1,6,Up to 4.9 GHz,"Name: ""AMD Ryzen™ 9 7845HX"","
AMD Ryzen™ 5 PRO 6650HS,6,Up to 4.5 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 PRO 5675U,6,Up to 4.3 GHz,"Max. Boost Clock: ""Up to 5.2 GHz"","
AMD Ryzen™ 5 PRO 5655GE,6,Up to 4.4 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 PRO 5655G,6,Up to 4.4 GHz,"},"
AMD Ryzen™ 5 PRO 5650U,6,Up to 4.2 GHz,{
AMD Ryzen™ 5 PRO 5650GE,6,Up to 4.4 GHz,"Name: ""AMD Ryzen™ 7 7840HX"","
AMD Ryzen™ 5 PRO 5650G,6,Up to 4.4 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 PRO 5645,6,Up to 4.6 GHz,"Max. Boost Clock: ""Up to 5.1 GHz"","
AMD Ryzen™ 5 5600GE,6,Up to 4.4 GHz,"L3 Cache: ""64 MB"""
AMD Ryzen™ 5 PRO 4655GE,6,Up to 4.2 GHz,"},"
AMD Ryzen™ 5 PRO 4655G,6,Up to 4.2 GHz,{
AMD Ryzen™ 5 PRO 4650U,6,Up to 4 GHz,"Name: ""AMD Ryzen™ 9 5900X"","
AMD Ryzen™ 5 PRO 4650GE,6,Up to 4.2 GHz,"# of CPU Cores: ""12"","
AMD Ryzen™ 5 PRO 4650G,6,Up to 4.2 GHz,"Max. Boost Clock: ""Up to 4.8 GHz"","
